star,observatory,jd
RW Ari,mso,2456313.551980
X Ari,mso,2456600.614467
UY Cam,ulmo,2456575.775563
RR Cet,mso,2456576.712696
SV Eri,mtkent,2456580.032443
VX Her,ulmo,2456575.552860
RR Leo,ulmo,2456604.946028
TT Lyn,mso,2456606.805239
TV Lyn,mso,2456311.668063
TW Lyn,mso,2456606.914045
RR Lyr,mso,2456465.662852
V535 Mon,ulmo,2456610.844004
V445 Oph,mso,2456485.750582
AV Peg,ulmo,2456593.585144
BH Peg,ulmo,2456563.627096
AR Per,ulmo,2456574.747057
RU Psc,mso,2456602.762516
T Sex,mso,2456275.820087
TU UMa,mso,2456679.770138